"origin","dev","calendar","aggregate_claims","notif_count","cum_notif_count","settle_count","cum_settle_count","unfinal_count"
"1","1",2,0.951431132205102,196,196,11,11,381
"2","1",3,0.246480162933889,177,177,6,6,348
"3","1",4,1.31278795082511,231,231,5,5,457
"4","1",5,0,179,179,4,4,354
"5","1",6,0,205,205,6,6,404
"6","1",7,0.845216910245248,189,189,0,0,378
"7","1",8,2.0128855135033,200,200,16,16,384
"8","1",9,3.46602409833375,256,256,1,1,511
"9","1",10,1.18483956739947,204,204,7,7,401
"10","1",11,1.35662849431592,236,236,0,0,472
"11","1",12,0.654892529665449,329,329,0,0,658
"12","1",13,0.899973487706803,298,298,0,0,596
"13","1",14,1.15920142718241,188,188,1,1,375
"14","1",15,0,174,174,5,5,343
"15","1",16,0,179,179,0,0,358
"16","1",17,1.04975593997246,229,229,0,0,458
"17","1",18,1.04719964320827,206,206,0,0,412
"18","1",19,1.11510481543922,209,209,4,4,414
"19","1",20,2.46878820478379,236,236,4,4,468
"20","1",21,0,226,226,5,5,447
"21","1",22,12.321209107336,244,244,9,9,479
"22","1",23,1.15916375177123,218,218,0,0,436
"23","1",24,1.63543325541549,290,290,0,0,580
"24","1",25,1.51274060441247,265,265,8,8,522
"25","1",26,0.42173290802017,176,176,0,0,352
"26","1",27,7.22463958405406,223,223,6,6,440
"27","1",28,0.379801764091402,224,224,0,0,448
"28","1",29,0.557865951292771,191,191,0,0,382
"29","1",30,0.828927665530771,186,186,0,0,372
"30","1",31,13.9755291405083,260,260,7,7,513
"31","1",32,2.44664390270588,228,228,0,0,456
"32","1",33,4.73455314051877,213,213,13,13,413
"33","1",34,0.238684524912502,218,218,13,13,423
"34","1",35,3.12614468873144,209,209,0,0,418
"35","1",36,0.90747483612473,246,246,6,6,486
"36","1",37,7.30855261302681,244,244,0,0,488
"37","1",38,3.61348988059841,315,315,4,4,626
"38","1",39,1.01399895621335,237,237,0,0,474
"39","1",40,0.751142972149949,221,221,0,0,442
"40","1",41,0.32802399838741,216,216,0,0,432
"1","2",3,13.1350667876972,73,269,6,17,325
"2","2",4,8.89461562527232,51,228,0,6,273
"3","2",5,15.1541203831397,78,309,19,24,363
"4","2",6,43.6611026960785,54,233,15,19,268
"5","2",7,25.5633235548732,88,293,27,33,348
"6","2",8,18.4811280432025,38,227,17,17,248
"7","2",9,4.95928019044736,88,288,19,35,341
"8","2",10,57.9262196635118,62,318,17,18,362
"9","2",11,18.5679757750748,91,295,0,7,379
"10","2",12,25.400421661404,52,288,16,16,324
"11","2",13,15.3237872401623,92,421,27,27,486
"12","2",14,30.2876250423922,73,371,22,22,422
"13","2",15,8.48675031297924,89,277,0,1,365
"14","2",16,6.91531829345983,58,232,14,19,271
"15","2",17,5.02580592897752,90,269,8,8,351
"16","2",18,8.44862393808579,68,297,19,19,346
"17","2",19,10.5648880314403,96,302,22,22,376
"18","2",20,20.1384767200505,78,287,16,20,345
"19","2",21,22.5671524770956,66,302,17,21,347
"20","2",22,9.82465571895098,94,320,6,11,403
"21","2",23,11.5515874775652,75,319,21,30,364
"22","2",24,24.7392721721647,124,342,23,23,443
"23","2",25,35.5210135355774,65,355,10,10,410
"24","2",26,20.0013153802155,75,340,24,32,383
"25","2",27,3.6656057522668,56,232,14,14,274
"26","2",28,20.0825642170745,83,306,20,26,363
"27","2",29,13.008825262509,101,325,4,4,422
"28","2",30,9.59625474535941,66,257,0,0,323
"29","2",31,7.93662390624205,102,288,4,4,386
"30","2",32,23.6571817592059,123,383,17,24,482
"31","2",33,24.8765594086583,66,294,16,16,344
"32","2",34,28.7976377081018,93,306,15,28,371
"33","2",35,31.7775160790125,83,301,20,33,351
"34","2",36,12.4170714402285,114,323,25,25,412
"35","2",37,23.5546628830318,112,358,8,14,456
"36","2",38,11.5008950587194,92,336,0,0,428
"37","2",39,12.9196505542713,82,397,0,4,475
"38","2",40,4.00444505100929,45,282,20,20,307
