"origin","dev","calendar","aggregate_claims","notif_count","cum_notif_count","settle_count","cum_settle_count","unfinal_count"
"1","1",2,205.443136722874,1445,1445,166,166,2724
"2","1",3,229.9172871305,1443,1443,168,168,2718
"3","1",4,180.856764921345,1666,1666,212,212,3120
"4","1",5,111.468059866466,1417,1417,160,160,2674
"5","1",6,215.884951343205,1474,1474,231,231,2717
"6","1",7,180.961474065259,1507,1507,278,278,2736
"7","1",8,179.935226259312,1587,1587,308,308,2866
"8","1",9,177.390027414907,1500,1500,289,289,2711
"9","1",10,196.451431374934,1476,1476,199,199,2753
"10","1",11,352.207543020355,1541,1541,184,184,2898
"1","2",3,889.286974194754,183,1628,388,554,1257
"2","2",4,1170.57943649747,154,1597,418,586,1165
"3","2",5,1183.09837162379,226,1892,477,689,1429
"4","2",6,1046.22543925245,222,1639,438,598,1263
"5","2",7,975.358504334398,226,1700,396,627,1299
"6","2",8,893.56697620656,260,1767,417,695,1332
"7","2",9,1498.28278821632,206,1793,411,719,1280
"8","2",10,1390.87517916686,245,1745,388,677,1313
"9","2",11,1295.70515836413,256,1732,447,646,1342
"1","3",4,863.657986311233,66,1694,353,907,853
"2","3",5,1493.78576614638,52,1649,383,969,732
"3","3",6,1207.13706492292,62,1954,464,1153,863
"4","3",7,1310.90159196587,143,1782,510,1108,817
"5","3",8,1541.65867489162,71,1771,386,1013,829
"6","3",9,1317.7076702463,32,1799,396,1091,740
"7","3",10,1841.00128861101,45,1838,406,1125,758
"8","3",11,1933.24773442385,60,1805,383,1060,805
"1","4",5,944.416103684833,19,1713,276,1183,549
"2","4",6,1426.58171845978,6,1655,295,1264,397
"3","4",7,2169.33544060889,8,1962,284,1437,533
"4","4",8,1269.63083334256,52,1834,274,1382,504
"5","4",9,1547.47788039094,36,1807,341,1354,489
"6","4",10,1326.29988480636,28,1827,306,1397,458
"7","4",11,1503.58636865858,13,1851,245,1370,494
"1","5",6,1128.20189355942,1,1714,262,1445,270
"2","5",7,1264.24507394786,9,1664,177,1441,232
"3","5",8,1156.10988195914,17,1979,268,1705,291
"4","5",9,812.884230188413,14,1848,219,1601,261
"5","5",10,904.559223065602,8,1815,198,1552,271
"6","5",11,839.424944001382,33,1860,195,1592,301
"1","6",7,725.521187685295,0,1714,137,1582,132
"2","6",8,815.847329202061,14,1678,134,1575,117
"3","6",9,877.409842307667,0,1979,95,1800,179
"4","6",10,1117.19310017364,11,1859,102,1703,167
"5","6",11,643.595397308746,0,1815,102,1654,161
"1","7",8,468.80521703796,0,1714,58,1640,74
"2","7",9,234.158927741218,0,1678,57,1632,46
"3","7",10,519.767969425775,0,1979,84,1884,95
"4","7",11,334.893007887236,0,1859,120,1823,36
"1","8",9,87.4058572064155,10,1724,37,1677,57
"2","8",10,200.599672362386,4,1682,32,1664,22
"3","8",11,399.763258097811,0,1979,67,1951,28
"1","9",10,30.6947987549633,0,1724,18,1695,29
"2","9",11,19.3415945967232,0,1682,9,1673,9
"1","10",11,269.646331579056,0,1724,21,1716,8
