"origin","dev","calendar","aggregate_claims","notif_count","cum_notif_count","settle_count","cum_settle_count","unfinal_count"
"1","1",2,36.4421443084808,505,505,44,44,966
"2","1",3,19.5888587655299,646,646,50,50,1242
"3","1",4,10.4392031557357,694,694,42,42,1346
"4","1",5,29.9902044544993,608,608,78,78,1138
"5","1",6,21.6304669914374,672,672,45,45,1299
"6","1",7,61.1807798977883,656,656,52,52,1260
"7","1",8,56.8468189331603,682,682,65,65,1299
"8","1",9,118.447673847082,583,583,21,21,1145
"9","1",10,16.1051549556807,664,664,48,48,1280
"10","1",11,34.9230755029738,606,606,55,55,1157
"11","1",12,8.55528657355099,529,529,33,33,1025
"12","1",13,19.6337516298875,676,676,34,34,1318
"13","1",14,88.137137786974,651,651,51,51,1251
"14","1",15,23.7411772845857,717,717,12,12,1422
"15","1",16,93.6071673705474,714,714,42,42,1386
"16","1",17,38.6773008555098,638,638,33,33,1243
"17","1",18,44.922522554248,645,645,32,32,1258
"18","1",19,23.7260517127398,583,583,47,47,1119
"19","1",20,73.0125787190668,578,578,40,40,1116
"20","1",21,13.538457212068,570,570,16,16,1124
"1","2",3,182.253169263894,151,656,50,94,713
"2","2",4,427.09623677965,125,771,101,151,745
"3","2",5,164.642220129306,113,807,99,141,779
"4","2",6,191.743668029777,196,804,81,159,841
"5","2",7,330.42769170062,193,865,86,131,927
"6","2",8,161.2103416224,117,773,88,140,750
"7","2",9,177.387285970746,177,859,130,195,841
"8","2",10,91.0912684426426,168,751,60,81,838
"9","2",11,165.876940994229,112,776,103,151,737
"10","2",12,208.034319049002,168,774,73,128,814
"11","2",13,204.284177974127,137,666,61,94,709
"12","2",14,113.631645860124,127,803,47,81,849
"13","2",15,195.490570747081,157,808,86,137,828
"14","2",16,206.809212227585,163,880,142,154,889
"15","2",17,147.121486073635,202,916,129,171,947
"16","2",18,246.883042919822,135,773,81,114,794
"17","2",19,138.954983145206,215,860,58,90,985
"18","2",20,150.307284212455,130,713,68,115,728
"19","2",21,151.268508947448,101,679,92,132,648
"1","3",4,232.902345518123,87,743,117,211,619
"2","3",5,456.236564932936,92,863,72,223,732
"3","3",6,340.526678780376,74,881,97,238,717
"4","3",7,524.983113309679,59,863,63,222,700
"5","3",8,148.773560837877,99,964,122,253,810
"6","3",9,393.965816215632,84,857,120,260,681
"7","3",10,365.304527659432,76,935,78,273,738
"8","3",11,154.089658866458,82,833,91,172,743
"9","3",12,597.739146568011,103,879,79,230,752
"10","3",13,425.440052811633,63,837,94,222,678
"11","3",14,135.431154442108,68,734,83,177,625
"12","3",15,160.966115901098,89,892,80,161,820
"13","3",16,278.006300053515,76,884,104,241,719
"14","3",17,193.583859510003,82,962,80,234,810
"15","3",18,284.448426877901,59,975,90,261,773
"16","3",19,291.314865490669,69,842,145,259,652
"17","3",20,542.332777517036,92,952,111,201,843
"18","3",21,234.726296976777,88,801,123,238,651
"1","4",5,198.633713327601,26,769,83,294,501
"2","4",6,294.98004427821,19,882,92,315,586
"3","4",7,561.917522583574,22,903,99,337,588
"4","4",8,225.743052195838,10,873,74,296,587
"5","4",9,387.312388898833,41,1005,141,394,652
"6","4",10,291.395223642909,38,895,82,342,591
"7","4",11,486.316406060168,24,959,138,411,572
"8","4",12,203.051100944771,35,868,109,281,622
"9","4",13,421.624260326827,37,916,194,424,529
"10","4",14,229.556902693778,41,878,54,276,643
"11","4",15,246.055970608862,52,786,92,269,569
"12","4",16,342.658952146606,16,908,114,275,649
"13","4",17,331.122114850383,61,945,146,387,619
"14","4",18,267.137960320237,31,993,99,333,691
"15","4",19,346.179261869388,51,1026,98,359,718
"16","4",20,434.884375616893,37,879,100,359,557
"17","4",21,387.612291644468,39,991,158,359,671
"1","5",6,226.312993403548,25,794,75,369,450
"2","5",7,177.735940759156,59,941,154,469,531
"3","5",8,314.71324295461,10,913,92,429,494
"4","5",9,398.379358770028,20,893,117,413,500
"5","5",10,451.327521725582,14,1019,140,534,499
"6","5",11,792.326768368675,28,923,129,471,480
"7","5",12,341.630279015686,19,978,121,532,465
"8","5",13,211.048882667315,13,881,109,390,504
"9","5",14,669.852538174679,22,938,76,500,460
"10","5",15,367.739875337901,22,900,163,439,483
"11","5",16,225.646378998452,25,811,104,373,463
"12","5",17,399.768852881225,14,922,85,360,576
"13","5",18,481.135008919137,32,977,161,548,461
"14","5",19,584.070837256121,28,1021,117,450,599
"15","5",20,264.617926602048,35,1061,164,523,573
"16","5",21,406.356516713248,28,907,124,483,452
"1","6",7,193.40990698044,20,814,49,418,416
"2","6",8,453.090179463518,4,945,81,550,399
"3","6",9,431.80629393361,7,920,94,523,404
"4","6",10,286.199423846891,11,904,84,497,418
"5","6",11,740.376682902411,27,1046,115,649,424
"6","6",12,413.546489702271,18,941,146,617,342
"7","6",13,302.275190794291,12,990,113,645,357
"8","6",14,349.88435349608,5,886,100,490,401
"9","6",15,251.612779947327,12,950,107,607,355
"10","6",16,457.198264827834,21,921,96,535,407
"11","6",17,274.322793802211,13,824,109,482,355
"12","6",18,318.624305806218,0,922,137,497,425
"13","6",19,523.480442585562,8,985,86,634,359
"14","6",20,614.147714994846,2,1023,127,577,448
"15","6",21,277.936856817585,6,1067,120,643,430
"1","7",8,125.357297987528,6,820,66,484,342
"2","7",9,571.658115576012,13,958,62,612,359
"3","7",10,293.837823350066,2,922,62,585,339
"4","7",11,282.565202490539,0,904,120,617,287
"5","7",12,270.267310738266,0,1046,98,747,299
"6","7",13,514.549496082344,4,945,87,704,245
"7","7",14,468.097120340131,22,1012,102,747,287
"8","7",15,347.163001202608,17,903,51,541,379
"9","7",16,234.440556926003,4,954,81,688,270
"10","7",17,364.37316827992,2,923,72,607,318
"11","7",18,239.676831411869,18,842,65,547,313
"12","7",19,209.151419191257,6,928,71,568,366
"13","7",20,422.817508942441,5,990,97,731,264
"14","7",21,357.707361991404,14,1037,66,643,408
"1","8",9,190.250336338237,4,824,96,580,248
"2","8",10,382.399823579099,0,958,127,739,219
"3","8",11,180.127547715531,6,928,48,633,301
"4","8",12,222.830093072838,14,918,57,674,258
"5","8",13,319.455359516612,18,1064,105,852,230
"6","8",14,247.099956581664,0,945,61,765,180
"7","8",15,529.51744378573,0,1012,78,825,187
"8","8",16,298.661659133965,14,917,119,660,271
"9","8",17,245.24960349549,9,963,69,757,215
"10","8",18,233.26092714846,10,933,101,708,235
"11","8",19,206.056692976274,0,842,54,601,241
"12","8",20,299.652577255821,0,928,73,641,287
"13","8",21,174.592615055033,4,994,76,807,191
"1","9",10,536.219727977137,19,843,63,643,219
"2","9",11,180.243383498001,0,958,62,801,157
"3","9",12,313.893485483533,8,936,98,731,213
"4","9",13,129.11125652492,0,918,44,718,200
"5","9",14,313.267720680399,0,1064,36,888,176
"6","9",15,280.297159301281,8,953,43,808,153
"7","9",16,484.153753204492,0,1012,55,880,132
"8","9",17,416.796724288706,8,925,87,747,186
"9","9",18,224.337000450947,8,971,62,819,160
"10","9",19,336.750367443133,0,933,50,758,175
"11","9",20,221.405866533183,7,849,72,673,183
"12","9",21,376.664498874146,0,928,104,745,183
"1","10",11,224.929972797907,13,856,66,709,160
"2","10",12,159.742763877143,0,958,36,837,121
"3","10",13,76.306583956908,0,936,22,753,183
"4","10",14,235.204589044029,15,933,38,756,192
"5","10",15,247.588152316448,0,1064,51,939,125
"6","10",16,165.703162942596,0,953,44,852,101
"7","10",17,123.284453322143,15,1027,49,929,113
"8","10",18,185.166837065873,0,925,33,780,145
"9","10",19,145.046204653083,0,971,56,875,96
"10","10",20,309.627769442205,11,944,54,812,143
"11","10",21,115.001046237455,5,854,38,711,148
"1","11",12,66.3637922928645,0,856,43,752,104
"2","11",13,140.078785043496,0,958,35,872,86
"3","11",14,82.3258892269523,7,943,39,792,158
"4","11",15,97.1125613961487,0,933,70,826,107
"5","11",16,335.015908652517,0,1064,40,979,85
"6","11",17,268.179163160781,0,953,12,864,89
"7","11",18,58.481842966685,3,1030,33,962,71
"8","11",19,97.5021853723152,9,934,30,810,133
"9","11",20,315.316757481195,0,971,29,904,67
"10","11",21,274.47852525772,0,944,21,833,111
"1","12",13,58.4414665411672,0,856,31,783,73
"2","12",14,177.441257299329,0,958,29,901,57
"3","12",15,143.391751924639,0,943,23,815,128
"4","12",16,70.3510230340325,0,933,21,847,86
"5","12",17,106.356976045084,0,1064,37,1016,48
"6","12",18,244.430387907349,0,953,42,906,47
"7","12",19,107.087868283524,0,1030,22,984,46
"8","12",20,50.749512544349,4,938,43,853,89
"9","12",21,515.934841579535,5,976,16,920,61
"1","13",14,179.393020744313,0,856,28,811,45
