"origin","dev","calendar","aggregate_claims","notif_count","cum_notif_count","settle_count","cum_settle_count","unfinal_count"
"1","1",2,19.2291679899322,611,611,83,83,1139
"2","1",3,13.8516811303313,627,627,51,51,1203
"3","1",4,43.4313100395582,781,781,69,69,1493
"4","1",5,9.21806618643941,637,637,7,7,1267
"5","1",6,16.3837966622064,665,665,40,40,1290
"6","1",7,16.0836038164147,701,701,54,54,1348
"7","1",8,41.1921381856767,618,618,37,37,1199
"8","1",9,6.39269058569097,553,553,27,27,1079
"9","1",10,20.6727116486048,720,720,31,31,1409
"10","1",11,10.8811101682062,730,730,40,40,1420
"11","1",12,15.0028586583107,612,612,11,11,1213
"12","1",13,52.7506336789944,509,509,48,48,970
"13","1",14,14.2950845874272,567,567,17,17,1117
"14","1",15,14.0493006611743,578,578,36,36,1120
"15","1",16,48.493690429168,553,553,51,51,1055
"16","1",17,51.3078289747541,661,661,68,68,1254
"17","1",18,11.1920287529805,603,603,31,31,1175
"18","1",19,27.0548338216958,638,638,47,47,1229
"19","1",20,40.1496044204996,575,575,34,34,1116
"20","1",21,84.9695372673099,631,631,31,31,1231
"1","2",3,137.972238681235,233,844,68,151,926
"2","2",4,101.285587605981,219,846,82,133,932
"3","2",5,191.513025530605,121,902,55,124,899
"4","2",6,52.3241833733413,107,744,56,63,788
"5","2",7,249.246406460316,155,820,110,150,825
"6","2",8,282.922713374905,154,855,63,117,892
"7","2",9,137.961364113698,146,764,79,116,794
"8","2",10,149.936107826876,131,684,73,100,715
"9","2",11,232.729520783326,194,914,131,162,946
"10","2",12,87.7997247018949,222,952,69,109,1065
"11","2",13,71.4648752173961,218,830,94,105,943
"12","2",14,153.669960809333,225,734,21,69,890
"13","2",15,170.353689392131,170,737,101,118,789
"14","2",16,172.840253657252,93,671,79,115,649
"15","2",17,255.280971091825,147,700,98,149,698
"16","2",18,177.044727402568,189,850,85,153,886
"17","2",19,123.886478142448,203,806,81,112,897
"18","2",20,118.980662644942,110,748,73,120,738
"19","2",21,181.635321469805,210,785,89,123,872
"20","2",22,214.444621157742,142,773,91,122,793
"1","3",4,229.783638922227,119,963,112,263,819
"2","3",5,159.855187344036,97,943,124,257,783
"3","3",6,483.701276522302,54,956,150,274,736
"4","3",7,206.662452986688,88,832,59,122,798
"5","3",8,210.911504633908,91,911,95,245,757
"6","3",9,248.746524527042,48,903,140,257,694
"7","3",10,256.737419631444,47,811,100,216,642
"8","3",11,191.742502742105,65,749,111,211,603
"9","3",12,359.778722154378,50,964,121,283,731
"10","3",13,263.500846617716,89,1041,100,209,921
"11","3",14,316.768216347589,64,894,125,230,728
"12","3",15,160.317961749292,75,809,102,171,713
"13","3",16,365.545527014485,68,805,95,213,660
"14","3",17,168.90363716446,82,753,108,223,612
"15","3",18,576.063774765585,122,822,95,244,700
"16","3",19,1002.55266476914,70,920,114,267,723
"17","3",20,213.613095690615,60,866,93,205,721
"18","3",21,336.199758289792,60,808,93,213,655
"19","3",22,491.119000803598,46,831,86,209,668
"20","3",23,296.725465063205,88,861,89,211,738
"1","4",5,294.306265863384,48,1011,152,415,644
"2","4",6,294.004564033143,49,992,101,358,683
"3","4",7,395.263428785862,82,1038,77,351,769
"4","4",8,143.150829135397,24,856,80,202,678
"5","4",9,231.73383348329,17,928,79,324,621
"6","4",10,357.550696828208,29,932,139,396,565
"7","4",11,580.605005900313,23,834,89,305,552
"8","4",12,289.392965073416,74,823,86,297,600
"9","4",13,508.108930370763,35,999,120,403,631
"10","4",14,488.43552292251,34,1075,156,365,744
"11","4",15,245.885101673458,56,950,129,359,647
"12","4",16,185.73355362481,18,827,122,293,552
"13","4",17,339.408115211572,61,866,102,315,612
"14","4",18,393.281845309762,72,825,129,352,545
"15","4",19,165.449918194029,32,854,72,316,570
"16","4",20,641.658086217663,72,992,143,410,654
"17","4",21,644.818858275418,65,931,183,388,608
"18","4",22,213.296958178141,8,816,76,289,535
"19","4",23,436.899710463463,0,831,107,316,515
"20","4",24,751.847711476407,25,886,142,353,558
"1","5",6,328.127911295295,16,1027,144,559,484
"2","5",7,405.534609595659,23,1015,129,487,551
"3","5",8,241.271574688319,14,1052,103,454,612
"4","5",9,534.676645123576,34,890,124,326,598
"5","5",10,370.383801513899,4,932,156,480,456
"6","5",11,253.825225049337,51,983,96,492,542
"7","5",12,281.131592680795,3,837,71,376,464
"8","5",13,350.757428678271,26,849,100,397,478
"9","5",14,369.40830961198,8,1007,124,527,488
"10","5",15,653.328029407672,27,1102,166,531,598
"11","5",16,354.205301820926,27,977,72,431,573
"12","5",17,397.406187380291,16,843,115,408,451
"13","5",18,536.92850068677,17,883,129,444,456
"14","5",19,493.282098699978,34,859,83,435,458
"15","5",20,339.198879008062,40,894,96,412,522
"16","5",21,842.764473280942,28,1020,99,509,539
"17","5",22,646.60806875382,43,974,135,523,494
"18","5",23,182.067332460902,20,836,95,384,472
"19","5",24,275.496608148279,26,857,98,414,469
"20","5",25,322.259714844531,24,910,80,433,501
"1","6",7,380.737721378157,10,1037,101,660,387
"2","6",8,311.922099425644,21,1036,116,603,454
"3","6",9,447.507007928218,15,1067,96,550,532
"4","6",10,359.153579291378,16,906,134,460,462
"5","6",11,503.967564293044,35,967,91,571,431
"6","6",12,251.038677978049,19,1002,103,595,426
"7","6",13,349.381157815811,16,853,97,473,396
"8","6",14,602.772044435547,16,865,110,507,374
"9","6",15,539.237195059064,17,1024,107,634,407
"10","6",16,615.029437911022,15,1117,112,643,489
"11","6",17,216.151728944387,14,991,79,510,495
"12","6",18,584.86311155621,5,848,135,543,310
"13","6",19,203.926538751476,4,887,75,519,372
"14","6",20,510.390468665245,2,861,94,529,334
"15","6",21,272.655644090159,0,894,122,534,360
"16","6",22,358.001196638703,10,1030,106,615,425
"17","6",23,307.698035181207,11,985,107,630,366
"18","6",24,300.957588072369,13,849,82,466,396
"19","6",25,486.501687915416,3,860,103,517,346
"20","6",26,344.9065185779,4,914,105,538,380
"1","7",8,429.523393272896,22,1059,70,730,351
"2","7",9,285.663625161039,7,1043,74,677,373
"3","7",10,308.492472325126,4,1071,130,680,395
"4","7",11,388.062161968051,5,911,116,576,340
"5","7",12,430.483469931364,7,974,129,700,281
"6","7",13,306.989577650784,10,1012,79,674,348
"7","7",14,411.526099958951,4,857,55,528,333
"8","7",15,321.696986747447,2,867,79,586,283
"9","7",16,358.661074408772,8,1032,57,691,349
"10","7",17,271.875176298359,4,1121,117,760,365
"11","7",18,388.917196465956,22,1013,82,592,443
"12","7",19,301.638550919598,0,848,63,606,242
"13","7",20,285.868600801493,0,887,95,614,273
"14","7",21,418.829291894974,9,870,71,600,279
"15","7",22,430.682568180011,18,912,155,689,241
"16","7",23,650.62340138382,5,1035,153,768,272
"17","7",24,356.704801373711,19,1004,99,729,294
"18","7",25,431.591265382168,0,849,73,539,310
"19","7",26,378.217127159814,12,872,67,584,300
"20","7",27,552.720011664886,9,923,131,669,263
"1","8",9,562.855559679405,4,1063,100,830,237
"2","8",10,331.095284841304,7,1050,146,823,234
"3","8",11,178.147399606582,1,1072,81,761,312
"4","8",12,346.98352639712,0,911,77,653,258
"5","8",13,124.875516063342,11,985,79,779,217
"6","8",14,282.717428240406,14,1026,114,788,252
"7","8",15,273.706439850955,2,859,72,600,261
"8","8",16,303.180430997593,12,879,71,657,234
"9","8",17,484.328658783997,8,1040,51,742,306
"10","8",18,446.977673582642,4,1125,50,810,319
"11","8",19,187.329287899394,11,1024,88,680,355
"12","8",20,215.734286139517,5,853,63,669,189
"13","8",21,251.40387337159,7,894,65,679,222
"14","8",22,475.481437140873,5,875,68,668,212
"15","8",23,203.572698924497,9,921,38,727,203
"16","8",24,302.91287399392,6,1041,87,855,192
"17","8",25,216.368116114553,17,1021,57,786,252
"18","8",26,300.638663780618,0,849,66,605,244
"19","8",27,259.098475977903,6,878,53,637,247
"20","8",28,197.342159545259,0,923,90,759,164
"1","9",10,145.571725775677,10,1073,45,875,208
"2","9",11,223.178300717159,0,1050,42,865,185
"3","9",12,468.512462912548,8,1080,111,872,216
"4","9",13,268.992795078391,0,911,22,675,236
"5","9",14,316.185671164483,0,985,62,841,144
"6","9",15,416.503582030669,0,1026,50,838,188
"7","9",16,237.500850871841,4,863,76,676,191
"8","9",17,140.390219478311,0,879,45,702,177
"9","9",18,155.666184828819,5,1045,84,826,224
